kohde;jasen;pvknro;sp;ASALUE;IKAL1;A1;A2;A3;A4;A5
51273;2;1;2;1.0;9;0;400;50;2.0;1.0
51274;1;2;1;1.0;9;0;550;208;1.0;1.0
51274;2;2;2;1.0;9;0;540;143;1.0;1.0
51275;1;1;1;1.0;9;0;590;60;2.0;2.0
51277;1;1;1;1.0;6;0;450;40;2.0;2.0
51279;1;1;2;1.0;9;00:00;09:50;01:00;2.0;1.0
51281;1;2;2;2.0;8;0;570;0;120.0;0.0
51281;2;2;1;2.0;9;0;560;0;240.0;120.0
51284;1;2;2;1.0;8;0;540;117;2.0;2.0
51284;2;2;1;1.0;8;0;480;117;2.0;2.0
51288;2;1;1;1.0;6;0;300;110;1.0;1.0
51290;1;2;1;1.0;7;0;120;0;2.0;1.0
51290;2;2;2;1.0;7;0;120;0;?;1.0
51294;1;2;1;3.0;6;180;500;26;2.0;1.0
51294;2;2;2;3.0;6;150;460;13;2.0;2.0
51302;1;2;1;1.0;8;0;390;117;1.0;1.0
51304;1;2;1;1.0;4;445;360;0;2.0;2.0
51304;2;2;2;1.0;4;0;520;130;2.0;1.0
51309;1;1;1;1.0;3;0;640;30;2.0;2.0
51313;1;1;1;2.0;5;470;360;30;1.0;1.0
51313;2;1;2;2.0;5;380;350;0;1.0;1.0
51314;1;2;2;1.0;7;0;540;0;2.0;2.0
51314;2;2;1;1.0;7;0;680;169;2.0;2.0
51321;1;1;2;1.0;8;0;540;70;2.0;2.0
51321;2;1;1;1.0;8;0;520;120;?;?
51326;1;1;2;1.0;7;0;540;60;2.0;1.0
51326;2;1;1;1.0;8;0;540;30;?;?
51327;1;2;2;2.0;6;235;470;78;1.0;1.0
51327;2;2;1;2.0;7;240;400;39;2.0;2.0
51328;1;2;1;1.0;7;0;530;169;2.0;2.0
51328;2;2;2;1.0;6;0;650;65;2.0;1.0
51336;1;1;2;1.0;5;0;240;110;1.0;?
51341;1;2;1;1.0;5;0;610;0;1.0;1.0
51345;1;2;1;1.0;6;235;520;26;1.0;2.0
51345;2;2;2;1.0;5;240;500;39;1.0;1.0
51347;1;1;1;1.0;5;470;460;0;1.0;2.0
51347;2;1;2;1.0;5;600;520;10;1.0;2.0
51350;1;2;2;1.0;6;200;550;0;1.0;1.0
51350;2;2;1;1.0;7;0;490;0;2.0;1.0
51351;1;2;1;3.0;7;0;610;52;2.0;1.0
51353;1;1;2;1.0;5;0;600;0;2.0;1.0
51353;2;1;1;1.0;5;0;800;0;1.0;1.0
51358;1;2;1;1.0;5;575;290;0;1.0;1.0
51358;2;2;2;1.0;4;0;450;0;2.0;1.0
51361;1;1;2;1.0;6;370;500;0;1.0;2.0
51361;2;1;1;1.0;6;0;570;30;1.0;1.0
51364;1;2;2;3.0;5;0;740;78;1.0;1.0
51364;2;2;1;3.0;6;25;510;143;1.0;1.0
51365;1;1;2;1.0;7;0;410;0;1.0;1.0
51365;2;1;1;1.0;7;340;400;0;2.0;2.0
51366;1;2;2;3.0;8;0;570;0;2.0;2.0
51366;2;2;1;3.0;9;0;510;65;2.0;2.0
51367;1;1;1;1.0;3;520;440;0;2.0;1.0
51369;1;1;2;2.0;5;590;390;0;1.0;1.0
51369;2;1;1;2.0;6;430;440;70;1.0;1.0
51378;1;1;1;1.0;8;0;540;0;2.0;2.0
51378;2;1;2;1.0;8;0;540;0;2.0;2.0
51389;1;1;1;1.0;8;0;480;50;2.0;1.0
51389;2;1;2;1.0;8;0;520;160;2.0;1.0
51391;1;1;2;1.0;9;0;510;120;1.0;2.0
51392;1;1;2;1.0;6;0;?;0;1.0;2.0
51392;2;1;1;1.0;5;0;760;0;1.0;2.0
51396;1;2;1;1.0;6;0;630;78;1.0;1.0
51407;1;2;1;1.0;7;0;560;0;2.0;1.0
51410;1;1;2;1.0;4;0;380;0;1.0;1.0
51415;1;2;2;1.0;5;175;480;0;1.0;1.0
51418;1;1;1;3.0;7;0;570;0;2.0;1.0
51420;1;2;2;2.0;7;0;480;65;2.0;1.0
51420;2;2;1;2.0;8;0;670;65;2.0;1.0
51421;1;1;1;3.0;9;01:50;10:30;03:30;2.0;2.0
51421;2;1;1;3.0;7;15:10;08:00;00:00;1.0;1.0
51429;2;2;2;1.0;5;200;440;52;2.0;1.0
51433;1;2;1;1.0;5;04:15;07:20;00:00;1.0;1.0
51434;1;2;2;2.0;7;0;570;65;1.0;1.0
51436;1;1;2;1.0;4;240;630;80;2.0;2.0
51437;1;2;2;1.0;6;230;530;26;1.0;1.0
51440;1;2;1;1.0;7;25;610;104;2.0;2.0
51440;2;2;2;1.0;7;0;530;65;2.0;1.0
51442;1;1;2;3.0;5;310;420;40;1.0;1.0
51442;2;1;1;3.0;5;650;410;60;1.0;2.0
51450;1;1;1;1.0;9;0;580;0;2.0;2.0
51456;1;1;1;1.0;4;09:10;06:10;00:10;?;?
51456;2;1;2;1.0;4;03:00;?;03:30;1.0;1.0
51459;1;2;2;3.0;7;0;520;0;2.0;2.0
51459;2;2;1;3.0;7;0;650;182;2.0;2.0
51462;1;1;2;2.0;6;400;620;0;2.0;2.0
51467;1;2;1;1.0;8;0;540;143;2.0;1.0
51467;2;2;2;1.0;8;0;560;78;2.0;1.0
51473;1;1;1;1.0;4;00:00;14:20;00:00;1.0;1.0
51477;1;2;1;3.0;8;0;570;65;2.0;1.0
51479;1;2;1;3.0;6;150;650;39;1.0;2.0
51479;2;2;2;3.0;6;0;540;91;1.0;1.0
51480;1;1;2;1.0;7;0;710;20;1.0;2.0
51480;2;1;1;1.0;8;0;570;230;1.0;2.0
51484;1;1;2;1.0;4;390;500;0;1.0;1.0
51484;2;1;1;1.0;4;510;390;0;1.0;1.0
51493;1;2;2;1.0;6;0;680;65;120.0;0.0
51493;2;2;1;1.0;7;0;630;130;120.0;180.0
51494;1;2;1;1.0;5;200;390;26;2.0;2.0
51494;2;2;2;1.0;5;225;270;13;2.0;2.0
51495;1;1;1;1.0;5;0;520;0;1.0;1.0
51495;2;1;2;1.0;4;0;410;0;1.0;1.0
51496;1;1;2;2.0;4;0;540;0;2.0;1.0
51496;2;1;1;2.0;4;460;450;30;2.0;1.0
51497;1;1;1;1.0;9;0;?;130;1.0;1.0
51497;2;1;2;1.0;9;0;590;130;1.0;1.0
51503;1;2;1;1.0;5;260;380;39;1.0;1.0
51507;1;1;1;1.0;5;0;580;30;1.0;1.0
51507;2;1;2;1.0;5;0;590;40;1.0;1.0
51509;1;1;1;3.0;7;0;560;0;2.0;2.0
51513;1;2;2;1.0;5;245;450;0;1.0;2.0
51513;2;2;1;1.0;6;170;530;0;1.0;1.0
51515;1;2;1;1.0;6;235;470;0;1.0;2.0
51517;1;2;2;1.0;8;0;610;39;1.0;1.0
51517;2;2;1;1.0;8;0;610;0;2.0;2.0
51524;1;1;1;1.0;6;0;590;130;2.0;1.0
51533;1;1;2;1.0;6;400;430;0;1.0;1.0
51534;1;1;1;2.0;7;0;640;160;1.0;1.0
51534;2;1;2;2.0;5;0;620;110;1.0;1.0
51535;1;2;2;1.0;5;?;430;117;1.0;1.0
51535;2;2;1;1.0;5;250;520;52;1.0;1.0
51536;1;2;1;1.0;4;0;810;0;1.0;1.0
51539;1;2;2;3.0;5;0;660;13;2.0;1.0
51539;2;2;1;3.0;5;0;660;0;2.0;1.0
51541;1;1;1;1.0;6;0;530;0;1.0;2.0
51541;2;1;2;1.0;6;0;560;40;1.0;1.0
51543;1;2;2;1.0;5;0;610;52;2.0;1.0
51543;2;2;1;1.0;6;320;620;39;?;?
51545;1;2;2;1.0;4;0;510;0;1.0;1.0
51545;2;2;1;1.0;5;0;490;0;1.0;1.0
51566;1;2;1;2.0;6;245;430;0;1.0;1.0
51566;2;2;2;2.0;6;225;370;0;?;1.0
51567;1;2;2;1.0;6;0;490;455;2.0;1.0
51569;1;1;2;2.0;5;0;470;80;2.0;1.0
51569;2;1;1;2.0;6;0;540;80;1.0;1.0
51579;1;2;1;3.0;4;0;610;0;1.0;1.0
51579;2;2;2;3.0;3;205;710;26;1.0;1.0
51590;1;1;2;1.0;3;30;650;30;1.0;2.0
51590;2;1;1;1.0;3;0;540;40;2.0;2.0
51592;1;2;1;1.0;3;0;710;0;1.0;1.0
51594;1;2;1;3.0;5;320;510;13;2.0;1.0
51601;1;1;2;1.0;6;30;530;10;1.0;1.0
51601;2;1;1;1.0;7;240;560;20;?;?
51610;1;2;1;1.0;5;0;550;0;2.0;2.0
51610;2;2;2;1.0;5;0;550;130;2.0;1.0
51613;1;2;1;1.0;8;0;430;299;2.0;2.0
51613;2;2;2;1.0;7;0;480;234;2.0;1.0
51615;1;1;1;3.0;8;0;590;40;240.0;0.0
51615;2;1;2;3.0;7;0;590;100;60.0;0.0
51619;1;1;1;1.0;8;0;510;0;2.0;2.0
51620;1;2;1;1.0;8;0;470;13;2.0;2.0
51625;1;1;2;1.0;5;460;350;0;1.0;2.0
51625;2;1;1;1.0;5;400;400;0;?;?
51631;1;1;1;3.0;5;410;520;20;1.0;1.0
51631;2;1;2;3.0;5;0;540;10;2.0;1.0
51633;1;1;1;3.0;6;09:20;07:50;00:10;?;?
51633;2;1;2;3.0;6;00:00;10:10;01:10;2.0;1.0
51635;1;2;1;1.0;9;0;770;0;?;?
51635;2;2;2;1.0;7;0;430;130;2.0;2.0
51636;1;1;2;1.0;7;0;670;0;2.0;2.0
51636;2;1;1;1.0;7;0;660;70;1.0;1.0
51637;1;2;1;1.0;4;03:40;08:30;00:00;1.0;1.0
51637;2;2;2;1.0;4;03:45;10:00;00:00;?;?
51640;1;2;2;2.0;7;0;680;0;2.0;2.0
51640;2;2;1;2.0;7;0;560;?;2.0;2.0
51645;1;1;1;1.0;4;00:00;07:50;00:00;2.0;1.0
51645;2;1;2;1.0;4;00:00;07:50;00:20;2.0;1.0
51655;1;1;1;1.0;7;0;370;120;1.0;1.0
51655;2;1;2;1.0;7;0;450;70;1.0;1.0
51657;1;2;1;1.0;8;0;700;39;2.0;2.0
51657;2;2;2;1.0;8;0;640;39;2.0;1.0
51659;1;1;1;3.0;9;0;550;120;2.0;1.0
51659;2;1;2;3.0;8;0;550;70;?;?
51661;1;2;2;1.0;5;0;410;0;2.0;1.0
51661;2;2;1;1.0;5;0;420;0;2.0;2.0
51667;1;1;2;2.0;5;460;470;0;1.0;1.0
51673;1;2;2;2.0;5;0;880;0;2.0;1.0
51673;2;2;1;2.0;5;180;510;0;2.0;2.0
51675;1;1;1;1.0;6;0;470;50;2.0;1.0
51675;2;1;2;1.0;6;0;460;220;1.0;1.0
51679;1;1;1;1.0;5;0;550;110;1.0;1.0
51679;2;1;2;1.0;5;0;420;40;1.0;1.0
51682;1;1;1;3.0;8;0;530;60;2.0;1.0
51684;1;2;2;1.0;4;0;550;0;1.0;1.0
51684;2;2;1;1.0;5;215;530;0;2.0;1.0
51688;1;2;2;1.0;9;0;440;260;2.0;2.0
51689;1;1;2;2.0;5;340;490;0;2.0;1.0
51690;1;1;2;1.0;3;0;280;0;1.0;1.0
51690;2;1;1;1.0;3;0;200;10;1.0;1.0
51693;1;1;1;3.0;8;0;640;130;1.0;1.0
51693;2;1;2;3.0;7;0;590;160;1.0;1.0
51701;1;2;2;1.0;5;00:00;13:30;01:44;1.0;1.0
51701;2;2;1;1.0;5;00:00;?;00:00;1.0;1.0
51703;1;1;2;1.0;6;0;490;40;2.0;2.0
51705;1;2;2;1.0;6;0;600;0;2.0;1.0
51717;1;2;2;3.0;6;0;550;0;2.0;1.0
51717;2;2;1;3.0;6;100;500;0;2.0;1.0
51718;1;1;2;1.0;5;270;530;60;1.0;1.0
51729;1;2;1;3.0;6;03:20;07:20;03:41;1.0;1.0
51732;1;2;1;1.0;8;0;590;117;2.0;2.0
51732;2;2;2;1.0;7;0;590;52;2.0;2.0
51735;1;1;1;1.0;8;0;590;110;2.0;2.0
51735;2;1;2;1.0;8;0;570;60;?;?
51738;1;2;1;2.0;8;0;440;13;2.0;2.0
51738;2;2;2;2.0;8;0;470;338;1.0;1.0
51741;1;2;2;1.0;7;0;610;78;1.0;1.0
51741;2;2;1;1.0;7;250;430;39;2.0;1.0
51747;1;2;1;1.0;6;185;540;104;2.0;1.0
51749;2;2;2;1.0;5;0;780;0;2.0;1.0
51755;1;2;2;1.0;8;0;500;65;1.0;1.0
51755;2;2;1;1.0;9;0;540;234;1.0;1.0
51773;1;2;2;3.0;4;20;450;13;1.0;2.0
51774;1;1;1;1.0;6;00:00;?;00:30;1.0;1.0
51774;2;1;2;1.0;5;00:00;10:30;00:00;?;?
51781;1;2;1;1.0;7;0;530;130;2.0;2.0
51781;2;2;2;1.0;7;0;540;39;2.0;2.0
51783;1;2;2;1.0;9;0;570;52;2.0;2.0
51788;1;2;2;1.0;5;245;470;0;2.0;2.0
51788;2;2;1;1.0;6;35;520;26;?;?
51789;1;1;2;1.0;9;0;530;210;2.0;1.0
51792;1;1;2;1.0;7;0;520;70;2.0;1.0
51792;2;1;1;1.0;7;0;520;60;2.0;2.0
51799;1;1;1;1.0;7;0;590;70;1.0;1.0
51799;2;1;2;1.0;7;0;550;90;?;?
51801;1;1;2;1.0;5;0;590;30;1.0;?
51801;2;1;1;1.0;6;0;720;110;1.0;1.0
51810;1;2;1;1.0;5;00:00;09:00;02:10;1.0;1.0
51817;1;1;2;1.0;6;70;510;60;1.0;1.0
51820;1;1;1;1.0;6;520;480;10;2.0;2.0
51820;2;1;2;1.0;6;0;550;?;1.0;1.0
51822;1;1;1;2.0;9;0;580;90;2.0;2.0
51822;2;1;2;2.0;9;0;570;80;2.0;1.0
51828;1;1;2;1.0;7;0;580;0;2.0;1.0
51829;2;1;2;1.0;6;0;570;20;1.0;1.0
51833;2;1;1;1.0;6;0;720;0;2.0;1.0
51837;2;1;2;1.0;6;470;530;0;1.0;1.0
51841;1;1;2;1.0;9;0;550;60;2.0;1.0
51841;2;1;1;1.0;9;0;550;80;2.0;2.0
51846;1;1;1;1.0;5;0;460;0;2.0;1.0
51846;2;1;2;1.0;4;0;460;0;2.0;1.0
51848;1;1;2;1.0;6;00:00;10:30;01:10;1.0;2.0
51857;1;1;1;1.0;7;00:00;08:10;00:00;1.0;1.0
51857;2;1;2;1.0;7;00:00;08:00;00:00;1.0;1.0
51858;1;2;2;1.0;5;0;590;0;1.0;1.0
51858;2;2;1;1.0;5;0;430;143;1.0;1.0
51861;1;2;2;1.0;5;225;380;65;1.0;1.0
51861;2;2;1;1.0;5;325;410;0;1.0;2.0
51865;1;1;1;1.0;4;0;520;80;1.0;1.0
51865;2;1;2;1.0;5;0;500;40;2.0;1.0
51866;1;1;2;2.0;4;540;?;0;1.0;1.0
51867;2;2;1;2.0;6;265;420;13;?;1.0
51869;2;1;2;1.0;7;0;530;0;1.0;1.0
51873;1;2;2;1.0;8;0;430;351;1.0;1.0
51873;2;2;1;1.0;8;0;400;260;1.0;1.0
51877;1;1;2;3.0;4;0;610;100;1.0;1.0
51877;2;1;1;3.0;5;490;540;10;1.0;1.0
51883;1;2;2;2.0;7;03:45;07:20;00:13;1.0;1.0
51883;2;2;1;2.0;4;07:50;07:10;00:00;2.0;1.0
51884;1;2;1;1.0;7;0;530;221;120.0;0.0
51884;2;2;2;1.0;7;0;350;52;0.0;0.0
51887;1;2;2;3.0;8;0;540;143;2.0;1.0
51891;2;2;2;1.0;7;00:00;06:20;00:00;2.0;1.0
51893;1;2;2;1.0;4;0;280;13;1.0;1.0
51898;1;1;2;1.0;8;0;560;50;2.0;2.0
51898;2;1;1;1.0;7;0;490;30;2.0;2.0
51900;1;1;1;1.0;5;0;480;40;1.0;2.0
51900;2;1;2;1.0;5;0;560;0;1.0;1.0
51902;1;1;2;2.0;4;0;570;20;1.0;1.0
51902;2;1;1;2.0;4;0;630;0;2.0;1.0
51904;1;1;2;1.0;4;0;480;30;1.0;1.0
51904;2;1;1;1.0;4;0;500;10;1.0;1.0
51905;1;1;2;3.0;5;0;520;0;2.0;1.0
51914;1;2;1;1.0;6;230;420;26;2.0;1.0
51914;2;2;2;1.0;6;310;150;0;1.0;1.0
51918;1;2;1;3.0;6;0;600;0;2.0;2.0
51918;2;2;2;3.0;6;0;600;0;2.0;1.0
51920;1;1;1;3.0;7;00:00;08:40;00:00;2.0;2.0
51920;2;1;2;3.0;7;00:00;09:40;01:10;2.0;2.0
51921;1;1;2;2.0;6;0;?;50;2.0;1.0
51921;2;1;1;2.0;7;0;550;20;2.0;1.0
51923;1;1;1;1.0;8;0;610;0;2.0;2.0
51926;1;1;1;3.0;7;0;630;30;1.0;1.0
51926;2;1;2;3.0;7;0;590;40;1.0;1.0
51929;1;1;1;2.0;7;0;410;0;2.0;1.0
51932;1;1;2;1.0;3;440;650;0;1.0;1.0
51932;2;1;1;1.0;3;0;420;0;1.0;1.0
51935;1;1;2;1.0;5;0;680;50;1.0;2.0
51935;2;1;1;1.0;5;0;1050;0;1.0;1.0
51936;1;1;2;1.0;4;0;620;180;1.0;1.0
51936;2;1;1;1.0;5;0;510;60;1.0;1.0
51941;1;1;2;2.0;7;00:00;04:00;00:50;2.0;2.0
51941;2;1;1;2.0;7;00:00;04:30;03:10;2.0;2.0
51947;1;2;1;1.0;7;20;670;39;1.0;2.0
51947;2;2;2;1.0;7;0;580;91;1.0;1.0
51951;1;1;2;1.0;6;0;600;200;2.0;1.0
51964;1;1;2;1.0;7;0;460;360;1.0;1.0
51964;2;1;1;1.0;7;0;550;0;1.0;1.0
51965;1;2;2;2.0;7;0;540;78;1.0;1.0
51973;1;1;1;2.0;5;0;600;0;1.0;1.0
51973;2;1;2;2.0;4;0;500;10;1.0;2.0
51977;1;1;2;1.0;9;0;490;50;2.0;2.0
51977;2;1;2;1.0;7;0;500;60;1.0;2.0
51978;1;2;2;2.0;6;0;610;0;2.0;1.0
51978;2;2;1;2.0;6;0;570;0;2.0;2.0
51980;1;2;2;2.0;6;230;450;39;1.0;2.0
51981;1;2;2;1.0;5;0;790;0;1.0;1.0
51981;2;2;1;1.0;5;0;730;0;?;?
51982;1;2;2;1.0;6;0;490;52;2.0;2.0
51982;2;2;1;1.0;5;210;480;52;?;?
